Unnamed: 0,city,state,state_full,country,region,year,census_fips_code,census_population,census_latitude,census_longitude,residential_speed_limit,bna_id,bna_uuid,bna_people,bna_opportunity_employment,bna_opportunity_k12_education,bna_opportunity_technical_vocational_college,bna_opportunity_higher_education,bna_opportunity,bna_core_services_doctors,bna_core_services_dentists,bna_core_services_hospitals,bna_core_services_pharmacies,bna_core_services_grocery,bna_core_services_social_services,bna_core_services,bna_retail,bna_recreation_parks,bna_recreation_trails,bna_recreation_community_centers,bna_recreation,bna_transit,bna_overall_score,bna_rounded_score,bna_total_low_stress_miles,bna_total_high_stress_miles,pop_size,rank,rank_size,rank_state,rank_country,rank_country_size,creation_date,filename
370,Oshawa,ON,Ontario,Canada,,2021,0,159458,43.8971,-78.8658,31,3aea277c-9c05-44e2-87a5-6a1b900bf0d2,856be1f6-eb45-45ea-b1bf-ffb5dd0643e0,23.25,0.0,50.31,17.69,15.24,34.9,19.65,17.12,8.21,24.86,40.62,28.58,24.21,60.33,70.89,12.63,11.47,35.64,12.95,31.65,32,174.9,862.4,medium,,,,,,2021-03-25T09:55:00Z,ON_Oshawa_v21.1.csv
371,Oshawa,ON,Ontario,Canada,,2022,0,175383,43.8971,-78.8658,31,3aea277c-9c05-44e2-87a5-6a1b900bf0d2,cd2909ff-81c9-4006-bdda-579a233c3911,27.29,0.0,51.04,28.88,23.84,39.56,19.7,17.63,11.06,31.01,43.03,31.15,26.45,62.74,71.87,18.36,16.0,39.17,24.05,36.19,36,197.5,861.3,medium,,,,,,2022-03-28T16:00:00Z,ON_Oshawa_v22.1.csv
372,Oshawa,ON,Ontario,Canada,,2023,0,175383,43.8971,-78.8658,31,3aea277c-9c05-44e2-87a5-6a1b900bf0d2,aa938808-37fc-429c-b79f-b6295b1f9917,27.27,0.0,51.41,28.88,23.84,39.46,19.7,17.36,11.06,30.84,45.68,31.55,27.12,62.9,71.88,18.36,16.16,39.22,24.05,36.33,36,205.3,863.7,medium,,,,,,2023-04-13T08:15:00Z,ON_Oshawa_v23.1.csv
373,Oshawa,ON,Ontario,Canada,,2024,0,175383,43.8971,-78.8658,25,3aea277c-9c05-44e2-87a5-6a1b900bf0d2,87b533b6-b5b0-4a7b-a8eb-93de2a8ca054,36.5,0.0,61.98,28.29,26.38,45.84,28.23,26.0,11.96,39.98,62.22,41.25,36.38,71.83,74.43,30.7,21.47,45.88,31.09,44.24,44,771.1,306.3,medium,,,,,,2024-04-04T13:25:00Z,ON_Oshawa_v24.1.csv
374,Oshawa,ON,Ontario,Canada,,2025,0,200555,43.8971,-78.8658,25,3aea277c-9c05-44e2-87a5-6a1b900bf0d2,1eeab18e-a24c-4321-8f3f-14f52f9360be,40.95,0.0,65.94,31.61,27.69,48.89,33.94,38.3,17.44,47.46,68.08,49.24,43.26,74.05,75.73,27.4,27.85,46.84,34.25,47.84,48,825.2,313.8,medium,,,,,,2025-04-21T03:40:23.247091Z,ON_Oshawa_v25.1.csv
12206,Somerset,PA,Pennsylvania,United States,Mid-Atlantic,2023,4271776,6030,40.005,-79.0779,25,bf5f3e41-f394-4c0b-9550-060802adc6fa,5ed0f710-edce-4b32-8512-acee72d6956e,47.04,37.1,54.77,0.0,0.0,45.94,0.0,0.0,10.22,0.0,4.96,0.0,7.3,11.08,52.53,0.0,0.0,52.53,0.0,32.05,32,68.7,16.2,small,,,,,,2023-12-05T14:01:00Z,PA_Somerset_v23.1.csv
12207,Somerset,PA,Pennsylvania,United States,Mid-Atlantic,2024,4271776,6030,40.005,-79.0779,25,bf5f3e41-f394-4c0b-9550-060802adc6fa,01674cb0-7f28-41b8-be65-f9ad36bb9272,47.04,37.1,54.77,0.0,0.0,45.94,0.0,0.0,10.22,0.0,18.98,0.0,15.09,13.07,52.53,0.0,0.0,52.53,0.0,34.24,34,68.7,16.2,small,,,,,,2024-03-10T14:52:00Z,PA_Somerset_v24.1.csv
12208,Somerset,PA,Pennsylvania,United States,Mid-Atlantic,2025,4271776,5984,40.0050299,-79.0778554,25,bf5f3e41-f394-4c0b-9550-060802adc6fa,380a7ec6-d1c8-4723-b252-cfa5d06a33e3,47.14,37.65,54.77,0.0,0.0,46.21,0.0,0.0,10.22,46.26,19.19,0.0,20.85,13.42,52.53,0.0,0.0,52.53,0.0,35.74,36,68.7,16.2,small,,,,,,2025-03-22T00:58:08.032030Z,PA_Somerset_v25.1.csv
9129,Columbia,MO,Missouri,United States,Midwest,2018,2915670,118620,38.9473,-92.3264,25,296149fe-5d0e-4ee4-ab8b-e1e548ad0bf2,bcbbe298-9cef-42e9-81bd-4e026b72f351,38.45,26.52,28.21,41.4,39.15,31.13,8.81,40.69,37.99,11.3,27.61,15.66,23.81,18.8,46.3,24.72,0.0,36.23,48.1,32.23,32,1051.4,362.8,medium,,,,,,2018-02-02T12:17:00Z,MO_Columbia_v18.1.csv
9130,Columbia,MO,Missouri,United States,Midwest,2019,2915670,120248,38.9473,-92.3264,25,296149fe-5d0e-4ee4-ab8b-e1e548ad0bf2,f838f8c1-9833-45c9-acdf-f55218c7c13f,36.79,25.7,27.24,39.68,38.6,30.22,18.63,39.9,38.42,6.08,25.34,16.02,24.75,22.96,46.2,23.11,0.0,35.42,47.72,32.43,32,1054.3,368.8,medium,,,,,,2019-02-15T07:50:00Z,MO_Columbia_v19.1.csv
